,CreationDate,Id,PostTypeId,Score,OwnerUserId,ParentId,AnswerCount,CommentCount,FavoriteCount,AcceptedAnswerId,PostLength,MathRatio
0,,,,,,,,,,,,
1,,,,,,,,,,,,
2,2010-07-20T19:09:27.200,1.0,1.0,186.0,10.0,,9.0,0.0,51.0,9.0,68.0,0.0
3,2010-07-20T19:12:14.353,3.0,1.0,135.0,29.0,,22.0,4.0,92.0,,19.0,0.0
4,2010-07-20T19:14:10.603,4.0,2.0,13.0,31.0,3.0,,2.0,,,64.0,0.0
5,2010-07-20T19:18:01.250,5.0,1.0,63.0,38.0,,17.0,7.0,23.0,7.0,35.0,0.4571428571428571
6,2010-07-20T19:20:00.543,6.0,1.0,50.0,41.0,,9.0,0.0,33.0,281.0,23.0,0.0
7,2010-07-20T19:21:52.240,7.0,2.0,90.0,45.0,5.0,,10.0,,,106.0,0.3962264150943396
8,2010-07-20T19:22:12.190,8.0,1.0,42.0,40.0,,8.0,0.0,5.0,17.0,88.0,0.25
9,2010-07-20T19:22:20.193,9.0,2.0,201.0,8.0,1.0,,1.0,,,314.0,0.0
10,2010-07-20T19:23:09.117,11.0,1.0,339.0,41.0,,30.0,2.0,135.0,49.0,29.0,0.0
11,2010-07-20T19:23:17.570,13.0,2.0,12.0,35.0,1.0,,0.0,,,290.0,0.0
12,2010-07-20T19:23:20.317,14.0,2.0,1.0,33.0,1.0,,6.0,,,140.0,0.0
13,2010-07-20T19:23:21.220,15.0,2.0,20.0,16.0,6.0,,1.0,,,52.0,0.0
14,2010-07-20T19:23:50.563,16.0,2.0,23.0,48.0,5.0,,1.0,,,117.0,0.7435897435897436
15,2010-07-20T19:23:54.230,17.0,2.0,28.0,38.0,8.0,,4.0,,,50.0,0.0
16,2010-07-20T19:24:34.823,18.0,1.0,11.0,17.0,,2.0,7.0,1.0,93.0,18.0,0.0
17,2010-07-20T19:25:09.563,20.0,1.0,19.0,54.0,,10.0,10.0,9.0,40.0,66.0,0.0
18,2010-07-20T19:25:58.483,22.0,1.0,18.0,51.0,,4.0,0.0,,53.0,121.0,0.0165289256198347
19,2010-07-20T19:26:16.643,24.0,2.0,5.0,53.0,8.0,,0.0,,,23.0,0.0
20,2010-07-20T19:26:38.187,26.0,2.0,4.0,55.0,8.0,,0.0,,,48.0,0.0
21,2010-07-20T19:27:09.700,29.0,1.0,40.0,54.0,,23.0,1.0,17.0,1572.0,30.0,0.0
22,2010-07-20T19:27:38.963,30.0,2.0,16.0,38.0,11.0,,3.0,,,38.0,3.0526315789473686
23,2010-07-20T19:27:39.433,31.0,2.0,15.0,56.0,11.0,,16.0,,,88.0,0.3863636363636363
24,2010-07-20T19:29:54.777,35.0,2.0,24.0,49.0,1.0,,2.0,,,16.0,0.0
25,2010-07-20T19:30:50.313,38.0,2.0,7.0,45.0,29.0,,0.0,,,25.0,0.0
